fips,name,st,county,rucc,pop_2010
0800925,Akron,Colorado,8121,9,1702
0801090,Alamosa,Colorado,8003,7,8780
0802355,Antonito,Colorado,8021,9,781
0809555,Brush,Colorado,8087,6,5463
0810600,Burlington,Colorado,8063,7,4254
0812855,Center,Colorado,8109,9,2230
0815165,Clifton,Colorado,8077,3,19889
0817375,Cortez,Colorado,8083,6,8482
0817760,Craig,Colorado,8081,7,9464
0818310,Crested Butte,Colorado,8051,7,1487
0819795,Del Norte,Colorado,8105,7,1686
0819850,Delta,Colorado,8029,6,8915
0822035,Durango,Colorado,8067,4,16887
0827040,Florence,Colorado,8043,4,3881
0827810,Fort Morgan,Colorado,8087,6,11315
0828745,Fruita,Colorado,8077,3,12646
0830780,Glenwood Springs,Colorado,8045,5,9614
0831660,Grand Junction,Colorado,8077,3,58566
0833640,Gunnison,Colorado,8051,7,5854
0834960,Haxtun,Colorado,8095,9,946
0837270,Holyoke,Colorado,8095,9,2313
0839965,Julesburg,Colorado,8115,9,1225
0842110,La Junta,Colorado,8089,6,7077
0843110,Lamar,Colorado,8099,7,7804
0843660,Las Animas,Colorado,8011,7,2410
0844320,Leadville,Colorado,8065,6,2602
0844980,Limon,Colorado,8073,8,1880
0848060,Manassa,Colorado,8021,9,991
0849875,Meeker,Colorado,8103,9,2475
0851635,Monte Vista,Colorado,8105,7,4444
0851745,Montrose,Colorado,8085,4,19132
0855155,Oak Creek,Colorado,8107,7,884
0856145,Ordway,Colorado,8025,8,1080
0856860,Pagosa Springs,Colorado,8007,7,1727
0857300,Paonia,Colorado,8029,6,1451
0864255,Rifle,Colorado,8045,5,9172
0865190,Rocky Ford,Colorado,8089,6,3957
0867280,Salida,Colorado,8015,7,5236
0873330,Springfield,Colorado,8009,9,1451
0873825,Steamboat Springs,Colorado,8107,7,12088
0873935,Sterling,Colorado,8075,7,14777
0876795,Telluride,Colorado,8113,9,2325
0878610,Trinidad,Colorado,8071,7,9096
0882350,Walsenburg,Colorado,8055,6,3068
0886310,Wray,Colorado,8125,7,2342
0886750,Yuma,Colorado,8125,7,3524
1900190,Ackley,Iowa,19083,6,1589
1900595,Afton,Iowa,19175,6,845
1900775,Akron,Iowa,19149,3,1486
1900910,Albia,Iowa,19135,7,3766
1901135,Algona,Iowa,19109,7,5560
1901495,Alta,Iowa,19021,7,1883
1901585,Alton,Iowa,19167,7,1216
1901855,Ames,Iowa,19169,3,58965
1902260,Anita,Iowa,19029,6,972
1903520,Atlantic,Iowa,19029,6,7112
1903655,Audubon,Iowa,19009,8,2176
1905365,Bedford,Iowa,19173,9,1440
1905635,Bellevue,Iowa,19097,6,2191
1905680,Belmond,Iowa,19197,7,2376
1907030,Bloomfield,Iowa,19051,9,2640
1907480,Boone,Iowa,19015,6,12661
1908605,Britt,Iowa,19081,7,2069
1908695,Brooklyn,Iowa,19157,7,1468
1909550,Burlington,Iowa,19057,5,25663
1911080,Carroll,Iowa,19027,7,10103
1911305,Cascade,Iowa,19061,3,2159
1911755,Cedar Falls,Iowa,19013,3,39260
1912315,Centerville,Iowa,19007,7,5528
1912720,Chariton,Iowa,19117,6,4321
1912765,Charles City,Iowa,19067,7,7652
1913080,Cherokee,Iowa,19035,6,5253
1913575,Clarinda,Iowa,19145,6,5572
1913620,Clarion,Iowa,19197,7,2850
1913755,Clarksville,Iowa,19023,8,1439
1914025,Clear Lake,Iowa,19033,5,7777
1914430,Clinton,Iowa,19045,4,26885
1915060,Colfax,Iowa,19099,6,2093
1916050,Coon Rapids,Iowa,19027,7,1305
1916500,Corning,Iowa,19003,9,1635
1916545,Correctionville,Iowa,19193,3,821
1916635,Corydon,Iowa,19185,9,1585
1917220,Cresco,Iowa,19089,6,3868
1917265,Creston,Iowa,19175,6,7834
1919405,Decorah,Iowa,19191,7,8127
1919945,Denison,Iowa,19047,7,8298
1921180,De Witt,Iowa,19045,4,5322
1922395,Dubuque,Iowa,19061,3,57637
1923115,Dyersville,Iowa,19061,3,4058
1923250,Eagle Grove,Iowa,19197,7,3583
1924420,Eldon,Iowa,19179,5,927
1924465,Eldora,Iowa,19083,6,2732
1924690,Elkader,Iowa,19043,8,1273
1925590,Emmetsburg,Iowa,19147,7,3904
1925860,Estherville,Iowa,19063,7,6360
1926265,Exira,Iowa,19009,8,840
1926445,Fairfield,Iowa,19101,7,9464
1927165,Fayette,Iowa,19065,6,1338
1928380,Forest City,Iowa,19189,7,4151
1928515,Fort Dodge,Iowa,19187,5,25206
1928605,Fort Madison,Iowa,19111,5,11051
1929955,Garner,Iowa,19081,7,3129
1930225,George,Iowa,19119,8,1080
1931710,Gowrie,Iowa,19187,5,1037
1931980,Grand Junction,Iowa,19073,6,824
1932745,Greene,Iowa,19023,8,1130
1932790,Greenfield,Iowa,19001,8,1982
1933105,Grinnell,Iowa,19157,7,9218
1933150,Griswold,Iowa,19029,6,1036
1933195,Grundy Center,Iowa,19075,3,2706
1933465,Guttenberg,Iowa,19043,8,1919
1933780,Hamburg,Iowa,19071,8,1187
1933960,Hampton,Iowa,19069,7,4461
1934500,Harlan,Iowa,19165,6,5106
1934725,Hartley,Iowa,19141,7,1672
1935265,Hawarden,Iowa,19167,7,2546
1936840,Holstein,Iowa,19093,8,1396
1937515,Hull,Iowa,19167,7,2175
1937560,Humboldt,Iowa,19091,7,4690
1938010,Ida Grove,Iowa,19093,8,2142
1938100,Independence,Iowa,19019,6,5966
1938640,Iowa Falls,Iowa,19083,6,5238
1939450,Jefferson,Iowa,19073,6,4345
1939675,Jewell Junction,Iowa,19079,6,1215
1940845,Keokuk,Iowa,19111,5,10780
1940935,Keosauqua,Iowa,19177,9,1006
1940980,Keota,Iowa,19107,8,1009
1941385,Kingsley,Iowa,19149,3,1411
1942015,Knoxville,Iowa,19125,6,7313
1942465,Lake City,Iowa,19025,9,1727
1942555,Lake Mills,Iowa,19189,7,2100
1942690,Lake View,Iowa,19161,9,1142
1942960,Lamoni,Iowa,19053,9,2324
1943275,Lansing,Iowa,19005,6,999
1943365,La Porte City,Iowa,19013,3,2285
1943725,Laurens,Iowa,19151,9,1258
1944400,Le Mars,Iowa,19149,3,9826
1944490,Lenox,Iowa,19173,9,1407
1944535,Leon,Iowa,19053,9,1977
1948000,McGregor,Iowa,19043,8,871
1948450,Madrid,Iowa,19015,6,2543
1948810,Manchester,Iowa,19055,6,5179
1948855,Manilla,Iowa,19047,7,776
1948900,Manly,Iowa,19195,9,1323
1948945,Manning,Iowa,19027,7,1500
1948990,Manson,Iowa,19025,9,1690
1949170,Mapleton,Iowa,19133,6,1224
1949215,Maquoketa,Iowa,19097,6,6141
1949350,Marcus,Iowa,19035,6,1117
1949395,Marengo,Iowa,19095,6,2528
1949755,Marshalltown,Iowa,19127,4,27552
1950160,Mason City,Iowa,19033,5,28079
1950935,Melcher-Dallas,Iowa,19125,6,1288
1952095,Milford,Iowa,19059,7,2898
1953310,Monona,Iowa,19043,8,1549
1953355,Monroe,Iowa,19099,6,1830
1953490,Montezuma,Iowa,19157,7,1462
1954480,Mount Ayr,Iowa,19159,9,1691
1954705,Mount Pleasant,Iowa,19087,6,8668
1955110,Muscatine,Iowa,19139,4,22886
1955335,Nashua,Iowa,19037,6,1663
1955695,Nevada,Iowa,19169,3,6798
1956100,New Hampton,Iowa,19037,6,3571
1956325,New London,Iowa,19087,6,1897
1956460,New Sharon,Iowa,19123,7,1293
1956505,Newton,Iowa,19099,6,15254
1956910,Nora Springs,Iowa,19067,7,1431
1957630,Northwood,Iowa,19195,9,1989
1958575,Odebolt,Iowa,19161,9,1013
1958620,Oelwein,Iowa,19065,6,6415
1958665,Ogden,Iowa,19015,6,2044
1959115,Onawa,Iowa,19133,6,2998
1959475,Orange City,Iowa,19167,7,6004
1959745,Osage,Iowa,19131,7,3619
1959835,Osceola,Iowa,19039,6,4929
1959925,Oskaloosa,Iowa,19123,7,11463
1960465,Ottumwa,Iowa,19179,5,25023
1961590,Parkersburg,Iowa,19023,8,1870
1961905,Paullina,Iowa,19141,7,1056
1962040,Pella,Iowa,19125,6,10352
1963975,Pocahontas,Iowa,19151,9,1789
1964290,Postville,Iowa,19005,6,2227
1964650,Primghar,Iowa,19141,7,909
1966135,Red Oak,Iowa,19137,6,5742
1966315,Reinbeck,Iowa,19075,3,1664
1966405,Remsen,Iowa,19149,3,1663
1968070,Rockford,Iowa,19067,7,860
1968160,Rock Rapids,Iowa,19119,8,2549
1968205,Rock Valley,Iowa,19167,7,3354
1968295,Rockwell City,Iowa,19025,9,1709
1969645,Sac City,Iowa,19161,9,2220
1970410,Sanborn,Iowa,19141,7,1404
1972210,Sheffield,Iowa,19069,7,1172
1972390,Sheldon,Iowa,19141,7,5188
1972525,Shenandoah,Iowa,19145,6,5150
1972975,Sibley,Iowa,19143,7,2798
1973065,Sidney,Iowa,19071,8,1138
1973110,Sigourney,Iowa,19107,8,2059
1973290,Sioux Center,Iowa,19167,7,7048
1973425,Sioux Rapids,Iowa,19021,7,775
1974280,Spencer,Iowa,19041,7,11233
1974415,Spirit Lake,Iowa,19059,7,4840
1975135,State Center,Iowa,19127,4,1468
1975630,Storm Lake,Iowa,19021,7,10600
1975675,Story City,Iowa,19169,3,3431
1975855,Strawberry Point,Iowa,19043,8,1279
1976260,Sumner,Iowa,19017,3,2028
1976935,Tabor,Iowa,19071,8,1040
1977115,Tama,Iowa,19171,6,2877
1978285,Tipton,Iowa,19031,6,3221
1978510,Toledo,Iowa,19171,6,2341
1978735,Traer,Iowa,19171,6,1703
1978915,Tripoli,Iowa,19017,3,1313
1980985,Villisca,Iowa,19137,6,1252
1982200,Wapello,Iowa,19115,8,2067
1982335,Washington,Iowa,19183,3,7266
1982740,Waukon,Iowa,19005,6,3897
1982875,Waverly,Iowa,19017,3,9874
1983145,Webster City,Iowa,19079,6,8070
1983280,Wellman,Iowa,19183,3,1408
1983685,West Burlington,Iowa,19057,5,2968
1984315,West Liberty,Iowa,19139,4,3736
1984765,West Union,Iowa,19065,6,2486
1985845,Williamsburg,Iowa,19095,6,3068
1986070,Wilton,Iowa,19139,4,2802
2301360,Anson,Maine,23025,6,2511
2302060,Auburn,Maine,23001,3,23055
2302100,Augusta,Maine,23011,4,19136
2302795,Bangor,Maine,23019,3,33039
2302830,Bar Harbor,Maine,23009,6,5235
2303950,Belfast,Maine,23027,6,6668
2304965,Bingham,Maine,23025,6,922
2305665,Blue Hill,Maine,23009,6,2686
2306085,Boothbay Harbor,Maine,23015,8,2165
2306925,Brewer,Maine,23019,3,9482
2308780,Bucksport,Maine,23009,6,4924
2309585,Calais,Maine,23029,7,3123
2309690,Camden,Maine,23013,7,4850
2310565,Caribou,Maine,23003,7,8189
2313435,Clinton,Maine,23011,4,3486
2317495,Dexter,Maine,23019,3,3895
2317705,Dixfield,Maine,23017,6,2550
2318230,Dover-Foxcroft,Maine,23021,8,4213
2321065,East Millinocket,Maine,23019,3,1723
2321730,Eastport,Maine,23029,7,1331
2323200,Ellsworth,Maine,23009,6,7741
2324285,Fairfield,Maine,23025,6,6735
2324285,Fairfield,Maine,23025,6,0
2324635,Farmingdale,Maine,23011,4,2956
2324740,Farmington,Maine,23007,6,7760
2325580,Fort Fairfield,Maine,23003,7,3496
2325580,Fort Fairfield,Maine,23003,7,0
2325720,Fort Kent,Maine,23003,7,4097
2326875,Fryeburg,Maine,23017,6,3449
2327085,Gardiner,Maine,23011,4,5800
2329500,Greenville,Maine,23021,8,1646
2330060,Guilford,Maine,23021,8,1521
2330550,Hallowell,Maine,23011,4,2381
2330760,Hampden,Maine,23019,3,7257
2331705,Hartland,Maine,23025,6,1782
2333945,Houlton,Maine,23003,7,6123
2334225,Howland,Maine,23019,3,1241
2338740,Lewiston,Maine,23001,3,36592
2339265,Limestone,Maine,23003,7,2314
2339440,Lincoln,Maine,23019,3,45
2339440,Lincoln,Maine,23019,3,5085
2340735,Livermore Falls,Maine,23001,3,3187
2341925,Machias,Maine,23029,7,2221
2342485,Madawaska,Maine,23003,7,4035
2342625,Madison,Maine,23025,6,4855
2342625,Madison,Maine,23025,6,0
2343675,Mars Hill,Maine,23003,7,1493
2344620,Mechanic Falls,Maine,23001,3,3031
2345250,Mexico,Maine,23017,6,2681
2345635,Milford,Maine,23019,3,3070
2345845,Millinocket,Maine,23019,3,4506
2345985,Milo,Maine,23021,8,2340
2349100,Newport,Maine,23019,3,3275
2349800,Norridgewock,Maine,23025,6,3367
2353965,Norway,Maine,23017,6,5014
2354525,Oakland,Maine,23011,4,6240
2355225,Old Town,Maine,23019,3,7840
2355575,Orono,Maine,23019,3,10362
2356240,Oxford,Maine,23017,6,4110
2358970,Pittsfield,Maine,23025,6,4215
2360825,Presque Isle,Maine,23003,7,9692
2361735,Randolph,Maine,23011,4,1772
2363590,Rockland,Maine,23013,7,7297
2364255,Rumford,Maine,23017,6,5841
2366600,Searsport,Maine,23027,6,2615
2368875,Skowhegan,Maine,23025,6,8589
2376330,Thomaston,Maine,23013,7,2781
2378535,Van Buren,Maine,23003,7,2171
2379515,Waldoboro,Maine,23015,8,5075
2380250,Washburn,Maine,23003,7,1687
2380740,Waterville,Maine,23011,4,15722
2385815,Wilton,Maine,23007,6,4116
2386480,Winslow,Maine,23011,4,7794
2386725,Winterport,Maine,23027,6,3757
2386935,Winthrop,Maine,23011,4,6092
2387040,Wiscasset,Maine,23015,8,3732
2387250,Woodland,Maine,23029,7,1213
2600440,Adrian,Michigan,26091,4,21133
2600980,Albion,Michigan,26025,3,8616
2601260,Allegan,Michigan,26005,4,4998
2601540,Alma,Michigan,26057,6,9383
2601740,Alpena,Michigan,26007,7,10483
2604740,Bad Axe,Michigan,26063,7,3129
2605320,Baraga,Michigan,26013,9,2053
2605920,Battle Creek,Michigan,26025,3,52347
2606020,Bay City,Michigan,26017,3,34932
2606900,Belding,Michigan,26067,4,5757
2607520,Benton Harbor,Michigan,26021,3,10038
2607860,Berrien Springs,Michigan,26021,3,1800
2607960,Bessemer,Michigan,26053,7,1905
2608300,Big Rapids,Michigan,26107,6,10601
2609000,Blissfield,Michigan,26091,4,3340
2609820,Boyne City,Michigan,26029,7,3735
2610860,Bronson,Michigan,26023,6,2349
2611400,Buchanan,Michigan,26021,3,4456
2612320,Cadillac,Michigan,26165,7,10355
2613420,Caro,Michigan,26157,6,4229
2613860,Caspian,Michigan,26071,7,906
2613880,Cass City,Michigan,26157,6,2428
2614780,Charlevoix,Michigan,26029,7,2513
2615000,Cheboygan,Michigan,26031,7,4867
2615140,Chesaning,Michigan,26145,3,2394
2615920,Clare,Michigan,26035,6,3118
2616480,Clinton,Michigan,26091,4,2336
2617020,Coldwater,Michigan,26023,6,10945
2617840,Constantine,Michigan,26149,4,2076
2618300,Corunna,Michigan,26155,4,3497
2618920,Croswell,Michigan,26151,6,2447
2619140,Crystal Falls,Michigan,26071,7,1469
2623380,Dundee,Michigan,26115,3,3957
2623500,Durand,Michigan,26155,4,3446
2624020,East Jordan,Michigan,26029,7,2351
2624420,East Tawas,Michigan,26069,7,2808
2626360,Escanaba,Michigan,26041,5,12616
2626420,Essexville,Michigan,26017,3,3478
2626640,Evart,Michigan,26133,9,1903
2630200,Frankenmuth,Michigan,26145,3,4944
2630260,Frankfort,Michigan,26019,9,1286
2630700,Fremont,Michigan,26123,6,4081
2631720,Gaylord,Michigan,26137,7,3645
2632300,Gladstone,Michigan,26041,5,4973
2632320,Gladwin,Michigan,26051,6,2933
2634640,Grayling,Michigan,26039,7,1884
2636300,Hancock,Michigan,26061,5,4634
2636460,Harbor Beach,Michigan,26063,7,1703
2636560,Harbor Springs,Michigan,26047,7,1194
2636920,Hart,Michigan,26127,6,2126
2638460,Hillsdale,Michigan,26059,6,8305
2638920,Homer,Michigan,26025,3,1668
2639360,Houghton,Michigan,26061,5,7708
2639720,Hudson,Michigan,26091,4,2307
2640860,Ionia,Michigan,26067,4,11394
2640960,Iron Mountain,Michigan,26043,7,7624
2640980,Iron River,Michigan,26071,7,3029
2641060,Ironwood,Michigan,26053,7,5387
2641220,Ishpeming,Michigan,26103,5,6470
2641340,Ithaca,Michigan,26057,6,2910
2641420,Jackson,Michigan,26075,3,33534
2641920,Jonesville,Michigan,26059,6,2258
2642260,Kalkaska,Michigan,26079,7,2020
2643300,Kingsford,Michigan,26043,7,5133
2644780,Lake Linden,Michigan,26061,5,1007
2644880,Lake Odessa,Michigan,26067,4,2018
2645540,L'Anse,Michigan,26013,9,2011
2646360,Laurium,Michigan,26061,5,1977
2649640,Ludington,Michigan,26105,7,8076
2650620,Mancelona,Michigan,26009,9,1390
2650720,Manistee,Michigan,26101,7,6226
2650760,Manistique,Michigan,26153,7,3097
2650880,Manton,Michigan,26165,7,1287
2651820,Marlette,Michigan,26151,6,1875
2651900,Marquette,Michigan,26103,5,21355
2651940,Marshall,Michigan,26025,3,7088
2653020,Menominee,Michigan,26109,7,8599
2653780,Midland,Michigan,26111,3,41863
2655020,Monroe,Michigan,26115,3,20733
2655100,Montague,Michigan,26121,3,2361
2655500,Morenci,Michigan,26091,4,2220
2656020,Mount Pleasant,Michigan,26073,4,26016
2656200,Munising,Michigan,26003,7,2355
2656320,Muskegon,Michigan,26121,3,38401
2656360,Muskegon Heights,Michigan,26121,3,10856
2656860,Negaunee,Michigan,26103,5,4568
2657080,Newaygo,Michigan,26123,6,1976
2657140,Newberry,Michigan,26095,7,1519
2657220,New Buffalo,Michigan,26021,3,1883
2657760,Niles,Michigan,26021,3,11600
2658640,North Muskegon,Michigan,26121,3,3786
2659220,Norway,Michigan,26043,7,2845
2660680,Onaway,Michigan,26141,7,880
2660860,Ontonagon,Michigan,26131,9,1494
2661620,Otsego,Michigan,26005,4,3956
2661940,Owosso,Michigan,26155,4,15194
2663820,Petoskey,Michigan,26047,7,5670
2664160,Pinconning,Michigan,26017,3,1307
2664740,Plainwell,Michigan,26005,4,3804
2665860,Portland,Michigan,26067,4,3883
2666640,Quincy,Michigan,26023,6,1652
2667500,Reading,Michigan,26059,6,1078
2667820,Reed City,Michigan,26133,9,2425
2669260,Rogers City,Michigan,26141,7,2827
2670520,Saginaw,Michigan,26145,3,51508
2670640,St. Charles,Michigan,26145,3,2054
2670840,St. Ignace,Michigan,26097,7,2452
2670960,St. Joseph,Michigan,26021,3,8365
2671000,St. Louis,Michigan,26057,6,7482
2671540,Sandusky,Michigan,26151,6,2679
2671740,Sault Ste. Marie,Michigan,26033,7,14144
2672080,Scottville,Michigan,26105,7,1214
2672180,Sebewaing,Michigan,26063,7,1759
2672840,Shelby,Michigan,26127,6,2065
2675220,South Range,Michigan,26061,5,758
2676960,Sturgis,Michigan,26149,4,10994
2678140,Tawas City,Michigan,26069,7,1827
2679120,Tecumseh,Michigan,26091,4,8521
2679720,Three Oaks,Michigan,26021,3,1622
2679760,Three Rivers,Michigan,26149,4,7811
2680340,Traverse City,Michigan,26055,5,14674
2681360,Union City,Michigan,26023,6,1599
