GEOID,st_fips,st,abbr,msp
01,1,Alabama,AL,0
02,2,Alaska,AK,0
04,4,Arizona,AZ,0
05,5,Arkansas,AR,0
06,6,California,CA,0
08,8,Colorado,CO,1
09,9,Connecticut,CT,0
10,10,Delaware,DE,0
11,11,District of Columbia,DC,0
12,12,Florida,FL,0
13,13,Georgia,GA,0
15,15,Hawaii,HI,0
16,16,Idaho,ID,0
17,17,Illinois,IL,0
18,18,Indiana,IN,0
19,19,Iowa,IA,1
20,20,Kansas,KS,0
21,21,Kentucky,KY,0
22,22,Louisiana,LA,0
23,23,Maine,ME,1
24,24,Maryland,MD,0
25,25,Massachusetts,MA,0
26,26,Michigan,MI,1
27,27,Minnesota,MN,1
28,28,Mississippi,MS,0
29,29,Missouri,MO,0
30,30,Montana,MT,0
31,31,Nebraska,NE,0
32,32,Nevada,NV,0
33,33,New Hampshire,NH,0
34,34,New Jersey,NJ,0
35,35,New Mexico,NM,0
36,36,New York,NY,0
37,37,North Carolina,NC,1
38,38,North Dakota,ND,0
39,39,Ohio,OH,1
40,40,Oklahoma,OK,0
41,41,Oregon,OR,0
42,42,Pennsylvania,PA,0
72,72,Puerto Rico,PR,0
44,44,Rhode Island,RI,0
45,45,South Carolina,SC,0
46,46,South Dakota,SD,0
47,47,Tennessee,TN,0
48,48,Texas,TX,1
49,49,Utah,UT,0
50,50,Vermont,VT,0
51,51,Virginia,VA,1
78,78,Virgin Islands,VI,0
53,53,Washington,WA,0
54,54,West Virginia,WV,0
55,55,Wisconsin,WI,1
56,56,Wyoming,WY,0