model,relyr,b,se
a,-3,7.073288,10.36077
a,-2,1.095454,10.44983
a,0,2.375777,10.31472
a,1,10.17459,10.25992
a,2,17.49631,10.25791
a,3,20.02764,10.39358
a,4,18.49556,10.45794
a,5,22.0118,10.43014
b,-3,8.629739,6.0389
b,-2,-0.7195569,6.09081
b,0,8.742146,6.012065
b,1,7.838436,5.980123
b,2,8.564433,5.978952
b,3,14.9979,6.058026
b,4,16.0328,6.095539
b,5,21.7399,6.079338
c,-3,107.2091,253.9914
c,-2,12.985,254.6795
c,0,-115.6566,253.8188
c,1,326.0469,254.654
c,2,590.6848,255.3533
c,3,605.7429,255.0596
c,4,631.8166,254.4211
c,5,522.7696,256.0211